Epochs: 10
Batch size: 32
Optimizer: Adam
Learning rate: 0.001
Loss function: CrossEntropyLoss
Epoch: Step: Loss:
1/10, 1, 1.0850
1/10, 101, 0.3633
1/10, 201, 0.1784
1/10, 301, 0.3223
1/10, 401, 0.4102
1/10, 501, 0.5896
1/10, 601, 0.1774
1/10, 701, 0.3408
1/10, 801, 0.2592
1/10, 901, 0.4964
1/10, 1001, 0.4064
1/10, 1101, 0.2109
1/10, 1201, 0.1723
1/10, 1301, 0.3441
1/10, 1401, 0.4063
1/10, 1501, 0.2025
1/10, 1601, 0.3272
2/10, 1, 0.2307
2/10, 101, 0.2398
2/10, 201, 0.1606
2/10, 301, 0.2978
2/10, 401, 0.0829
2/10, 501, 0.7607
2/10, 601, 0.2307
2/10, 701, 0.1834
2/10, 801, 0.4385
2/10, 901, 0.2539
2/10, 1001, 0.2523
2/10, 1101, 0.4487
2/10, 1201, 0.3626
2/10, 1301, 0.3899
2/10, 1401, 0.1867
2/10, 1501, 0.3879
2/10, 1601, 0.1802
3/10, 1, 0.2732
3/10, 101, 0.4223
3/10, 201, 0.1079
3/10, 301, 0.1280
3/10, 401, 0.3830
3/10, 501, 0.2817
3/10, 601, 0.2391
3/10, 701, 0.2698
3/10, 801, 0.2131
3/10, 901, 0.3156
3/10, 1001, 0.2846
3/10, 1101, 0.4161
3/10, 1201, 0.2314
3/10, 1301, 0.0889
3/10, 1401, 0.2574
3/10, 1501, 0.3097
3/10, 1601, 0.1787
4/10, 1, 0.2033
4/10, 101, 0.1170
4/10, 201, 0.1118
4/10, 301, 0.1963
4/10, 401, 0.4818
4/10, 501, 0.2714
4/10, 601, 0.2138
4/10, 701, 0.3247
4/10, 801, 0.2589
4/10, 901, 0.1983
4/10, 1001, 0.2263
4/10, 1101, 0.1659
4/10, 1201, 0.2113
4/10, 1301, 0.2060
4/10, 1401, 0.1298
4/10, 1501, 0.2095
4/10, 1601, 0.3488
5/10, 1, 0.1398
5/10, 101, 0.1749
5/10, 201, 0.2448
5/10, 301, 0.0406
5/10, 401, 0.1294
5/10, 501, 0.3533
5/10, 601, 0.1924
5/10, 701, 0.1483
5/10, 801, 0.1800
5/10, 901, 0.0794
5/10, 1001, 0.1121
5/10, 1101, 0.0865
5/10, 1201, 0.2048
5/10, 1301, 0.1243
5/10, 1401, 0.0926
5/10, 1501, 0.1448
5/10, 1601, 0.2039
6/10, 1, 0.1031
6/10, 101, 0.2390
6/10, 201, 0.1621
6/10, 301, 0.1515
6/10, 401, 0.1239
6/10, 501, 0.0434
6/10, 601, 0.1095
6/10, 701, 0.0942
6/10, 801, 0.1025
6/10, 901, 0.0971
6/10, 1001, 0.2644
6/10, 1101, 0.3086
6/10, 1201, 0.1318
6/10, 1301, 0.0302
6/10, 1401, 0.3314
6/10, 1501, 0.1082
6/10, 1601, 0.2644
7/10, 1, 0.0536
7/10, 101, 0.0619
7/10, 201, 0.0782
7/10, 301, 0.0401
7/10, 401, 0.0420
7/10, 501, 0.0907
7/10, 601, 0.0713
7/10, 701, 0.1584
7/10, 801, 0.1629
7/10, 901, 0.0769
7/10, 1001, 0.1046
7/10, 1101, 0.0287
7/10, 1201, 0.0789
7/10, 1301, 0.1005
7/10, 1401, 0.0682
7/10, 1501, 0.2422
7/10, 1601, 0.1704
8/10, 1, 0.2327
8/10, 101, 0.0463
8/10, 201, 0.1013
8/10, 301, 0.0583
8/10, 401, 0.0301
8/10, 501, 0.1251
8/10, 601, 0.0815
8/10, 701, 0.0081
8/10, 801, 0.0959
8/10, 901, 0.0917
8/10, 1001, 0.0015
8/10, 1101, 0.0746
8/10, 1201, 0.0360
8/10, 1301, 0.0097
8/10, 1401, 0.2004
8/10, 1501, 0.0351
8/10, 1601, 0.0267
9/10, 1, 0.0826
9/10, 101, 0.0319
9/10, 201, 0.0178
9/10, 301, 0.0421
9/10, 401, 0.4633
9/10, 501, 0.0197
9/10, 601, 0.0853
9/10, 701, 0.0273
9/10, 801, 0.0732
9/10, 901, 0.2258
9/10, 1001, 0.0435
9/10, 1101, 0.0139
9/10, 1201, 0.0242
9/10, 1301, 0.0247
9/10, 1401, 0.0025
9/10, 1501, 0.0591
9/10, 1601, 0.1429
10/10, 1, 0.0048
10/10, 101, 0.0026
10/10, 201, 0.0022
10/10, 301, 0.0489
10/10, 401, 0.0898
10/10, 501, 0.1222
10/10, 601, 0.0197
10/10, 701, 0.0981
10/10, 801, 0.0585
10/10, 901, 0.0960
10/10, 1001, 0.0285
10/10, 1101, 0.0441
10/10, 1201, 0.1206
10/10, 1301, 0.0132
10/10, 1401, 0.0607
10/10, 1501, 0.0356
10/10, 1601, 0.0272
Training completed in 3 hours, 31 minutes, 30 seconds
