Epochs: 10
Batch size: 32
Optimizer: Adam
Learning rate: 0.001
Loss function: CrossEntropyLoss
Epoch: Step: Loss:
1/10, 1, 1.0109
1/10, 101, 0.4131
1/10, 201, 0.4766
1/10, 301, 0.5896
1/10, 401, 0.3268
1/10, 501, 0.5175
1/10, 601, 0.2976
1/10, 701, 0.5969
1/10, 801, 0.3099
1/10, 901, 0.4851
1/10, 1001, 0.2321
1/10, 1101, 0.3910
1/10, 1201, 0.2888
1/10, 1301, 0.4585
1/10, 1401, 0.3113
1/10, 1501, 0.3352
1/10, 1601, 0.4225
2/10, 1, 0.3591
2/10, 101, 0.2113
2/10, 201, 0.4710
2/10, 301, 0.5420
2/10, 401, 0.1884
2/10, 501, 0.3755
2/10, 601, 0.1786
2/10, 701, 0.1938
2/10, 801, 0.2614
2/10, 901, 0.2439
2/10, 1001, 0.2225
2/10, 1101, 0.3292
2/10, 1201, 0.1745
2/10, 1301, 0.1654
2/10, 1401, 0.3105
2/10, 1501, 0.2659
2/10, 1601, 0.1739
3/10, 1, 0.2544
3/10, 101, 0.3730
3/10, 201, 0.2511
3/10, 301, 0.1213
3/10, 401, 0.2086
3/10, 501, 0.3998
3/10, 601, 0.6520
3/10, 701, 0.4349
3/10, 801, 0.4334
3/10, 901, 0.2665
3/10, 1001, 0.1784
3/10, 1101, 0.1852
3/10, 1201, 0.0822
3/10, 1301, 0.2219
3/10, 1401, 0.2288
3/10, 1501, 0.3565
3/10, 1601, 0.2078
4/10, 1, 0.1705
4/10, 101, 0.3728
4/10, 201, 0.2860
4/10, 301, 0.3217
4/10, 401, 0.2093
4/10, 501, 0.1534
4/10, 601, 0.6602
4/10, 701, 0.1865
4/10, 801, 0.0917
4/10, 901, 0.2691
4/10, 1001, 0.3528
4/10, 1101, 0.2870
4/10, 1201, 0.2983
4/10, 1301, 0.2094
4/10, 1401, 0.2297
4/10, 1501, 0.2813
4/10, 1601, 0.2619
5/10, 1, 0.3351
5/10, 101, 0.1781
5/10, 201, 0.1566
5/10, 301, 0.1372
5/10, 401, 0.1811
5/10, 501, 0.3187
5/10, 601, 0.2215
5/10, 701, 0.2067
5/10, 801, 0.4206
5/10, 901, 0.0758
5/10, 1001, 0.5705
5/10, 1101, 0.3715
5/10, 1201, 0.1965
5/10, 1301, 0.1295
5/10, 1401, 0.1042
5/10, 1501, 0.1666
5/10, 1601, 0.1171
6/10, 1, 0.1059
6/10, 101, 0.1069
6/10, 201, 0.1298
6/10, 301, 0.1240
6/10, 401, 0.1387
6/10, 501, 0.0371
6/10, 601, 0.0655
6/10, 701, 0.0834
6/10, 801, 0.0964
6/10, 901, 0.0770
6/10, 1001, 0.1557
6/10, 1101, 0.0909
6/10, 1201, 0.0608
6/10, 1301, 0.1937
6/10, 1401, 0.2132
6/10, 1501, 0.1014
6/10, 1601, 0.1692
7/10, 1, 0.0808
7/10, 101, 0.1214
7/10, 201, 0.0665
7/10, 301, 0.0662
7/10, 401, 0.1285
7/10, 501, 0.0889
7/10, 601, 0.3016
7/10, 701, 0.1647
7/10, 801, 0.1222
7/10, 901, 0.0706
7/10, 1001, 0.0099
7/10, 1101, 0.1606
7/10, 1201, 0.0728
7/10, 1301, 0.0650
7/10, 1401, 0.1209
7/10, 1501, 0.1216
7/10, 1601, 0.1360
8/10, 1, 0.0208
8/10, 101, 0.0796
8/10, 201, 0.0231
8/10, 301, 0.0256
8/10, 401, 0.0231
8/10, 501, 0.0389
8/10, 601, 0.0641
8/10, 701, 0.0730
8/10, 801, 0.0941
8/10, 901, 0.0989
8/10, 1001, 0.0470
8/10, 1101, 0.0039
8/10, 1201, 0.1156
8/10, 1301, 0.0563
8/10, 1401, 0.0331
8/10, 1501, 0.0964
8/10, 1601, 0.0241
9/10, 1, 0.0657
9/10, 101, 0.0164
9/10, 201, 0.0131
9/10, 301, 0.1255
9/10, 401, 0.0530
9/10, 501, 0.1062
9/10, 601, 0.0055
9/10, 701, 0.0443
9/10, 801, 0.0524
9/10, 901, 0.0356
9/10, 1001, 0.2051
9/10, 1101, 0.0283
9/10, 1201, 0.1400
9/10, 1301, 0.0264
9/10, 1401, 0.0199
9/10, 1501, 0.0271
9/10, 1601, 0.0406
10/10, 1, 0.0102
10/10, 101, 0.0040
10/10, 201, 0.0273
10/10, 301, 0.0236
10/10, 401, 0.0024
10/10, 501, 0.0320
10/10, 601, 0.0257
10/10, 701, 0.0052
10/10, 801, 0.0086
10/10, 901, 0.0050
10/10, 1001, 0.0776
10/10, 1101, 0.0085
10/10, 1201, 0.0122
10/10, 1301, 0.2192
10/10, 1401, 0.0808
10/10, 1501, 0.0488
10/10, 1601, 0.0158
Training completed in 1 hours, 9 minutes, 14 secondsAccuracy on test set: 85.47%
True stars: 95.81%
False stars: 5.26%
Missed stars: 4.19%

True galaxies: 42.77%
False galaxies: 42.48%
Missed galaxies: 57.23%

True qso: 82.23%
False qso: 21.12%
Missed qso: 17.77%
