Epochs: 10
Batch size: 16
Optimizer: Adam
Learning rate: 0.001
Loss function: CrossEntropyLoss
Epoch: Step: Loss:
1/10, 1, 1.1041
1/10, 101, 0.4808
1/10, 201, 0.4382
1/10, 301, 0.5457
1/10, 401, 0.7942
1/10, 501, 0.2350
1/10, 601, 0.6387
1/10, 701, 0.4329
1/10, 801, 0.3277
1/10, 901, 0.3025
1/10, 1001, 0.3875
1/10, 1101, 0.8303
1/10, 1201, 0.5596
1/10, 1301, 0.2293
1/10, 1401, 0.6327
1/10, 1501, 0.5676
1/10, 1601, 0.4743
1/10, 1701, 0.3488
1/10, 1801, 0.2613
1/10, 1901, 0.3236
1/10, 2001, 0.4309
1/10, 2101, 0.1836
1/10, 2201, 0.1362
1/10, 2301, 0.6864
1/10, 2401, 0.2615
1/10, 2501, 0.2379
1/10, 2601, 0.5187
1/10, 2701, 0.1538
1/10, 2801, 0.3741
1/10, 2901, 0.1544
1/10, 3001, 0.3057
1/10, 3101, 0.3809
1/10, 3201, 0.4601
1/10, 3301, 0.2216
2/10, 1, 0.1084
2/10, 101, 0.3826
2/10, 201, 0.2116
2/10, 301, 0.4518
2/10, 401, 0.0854
2/10, 501, 0.1873
2/10, 601, 0.2162
2/10, 701, 0.1727
2/10, 801, 0.0711
2/10, 901, 0.3529
2/10, 1001, 0.2124
2/10, 1101, 0.1681
2/10, 1201, 0.4041
2/10, 1301, 0.1157
2/10, 1401, 0.4591
2/10, 1501, 0.3947
2/10, 1601, 0.1555
2/10, 1701, 0.5876
2/10, 1801, 0.3029
2/10, 1901, 0.3226
2/10, 2001, 0.2669
2/10, 2101, 0.3044
2/10, 2201, 0.2415
2/10, 2301, 0.1841
2/10, 2401, 0.4365
2/10, 2501, 0.2415
2/10, 2601, 0.4697
2/10, 2701, 0.2385
2/10, 2801, 0.2694
2/10, 2901, 0.0462
2/10, 3001, 0.2759
2/10, 3101, 0.2044
2/10, 3201, 0.2753
2/10, 3301, 0.1111
3/10, 1, 0.1900
3/10, 101, 0.0940
3/10, 201, 0.3527
3/10, 301, 0.4630
3/10, 401, 0.0777
3/10, 501, 0.3875
3/10, 601, 0.1337
3/10, 701, 0.2737
3/10, 801, 0.2210
3/10, 901, 0.2606
3/10, 1001, 0.2420
3/10, 1101, 0.1090
3/10, 1201, 0.5419
3/10, 1301, 0.3629
3/10, 1401, 0.2668
3/10, 1501, 0.1500
3/10, 1601, 0.3968
3/10, 1701, 0.1193
3/10, 1801, 0.1654
3/10, 1901, 0.3857
3/10, 2001, 0.1453
3/10, 2101, 0.3371
3/10, 2201, 0.1971
3/10, 2301, 0.1979
3/10, 2401, 0.1218
3/10, 2501, 0.1292
3/10, 2601, 0.2806
3/10, 2701, 0.1921
3/10, 2801, 0.1282
3/10, 2901, 0.6718
3/10, 3001, 0.4081
3/10, 3101, 0.3023
3/10, 3201, 0.7826
3/10, 3301, 0.7427
4/10, 1, 0.2519
4/10, 101, 0.1090
4/10, 201, 0.1121
4/10, 301, 0.3857
4/10, 401, 0.2979
4/10, 501, 0.1125
4/10, 601, 0.2583
4/10, 701, 0.1751
4/10, 801, 0.1982
4/10, 901, 0.2579
4/10, 1001, 0.1158
4/10, 1101, 0.3811
4/10, 1201, 0.1205
4/10, 1301, 0.3113
4/10, 1401, 0.1269
4/10, 1501, 0.2844
4/10, 1601, 0.0715
4/10, 1701, 0.1315
4/10, 1801, 0.4128
4/10, 1901, 0.3886
4/10, 2001, 0.0899
4/10, 2101, 0.2489
4/10, 2201, 0.2659
4/10, 2301, 0.4510
4/10, 2401, 0.2161
4/10, 2501, 0.0750
4/10, 2601, 0.1828
4/10, 2701, 0.1667
4/10, 2801, 0.1040
4/10, 2901, 0.4159
4/10, 3001, 0.2241
4/10, 3101, 0.1866
4/10, 3201, 0.0761
4/10, 3301, 0.3437
5/10, 1, 0.0646
5/10, 101, 0.0994
5/10, 201, 0.1138
5/10, 301, 0.0335
5/10, 401, 0.0269
5/10, 501, 0.1274
5/10, 601, 0.1752
5/10, 701, 0.1785
5/10, 801, 0.0946
5/10, 901, 0.2220
5/10, 1001, 0.0977
5/10, 1101, 0.1752
5/10, 1201, 0.0930
5/10, 1301, 0.0235
5/10, 1401, 0.2156
5/10, 1501, 0.1349
5/10, 1601, 0.1072
5/10, 1701, 0.2413
5/10, 1801, 0.0464
5/10, 1901, 0.0387
5/10, 2001, 0.0881
5/10, 2101, 0.1724
5/10, 2201, 0.2448
5/10, 2301, 0.2696
5/10, 2401, 0.0654
5/10, 2501, 0.0505
5/10, 2601, 0.3447
5/10, 2701, 0.0456
5/10, 2801, 0.1656
5/10, 2901, 0.2450
5/10, 3001, 0.1782
5/10, 3101, 0.2215
5/10, 3201, 0.1638
5/10, 3301, 0.1548
6/10, 1, 0.2123
6/10, 101, 0.0364
6/10, 201, 0.0519
6/10, 301, 0.0909
6/10, 401, 0.1558
6/10, 501, 0.1000
6/10, 601, 0.0670
6/10, 701, 0.2260
