Epochs: 10
Batch size: 64
Optimizer: Adam
Learning rate: 0.001
Loss function: CrossEntropyLoss
Epoch: Step: Loss:
1/10, 1, 1.0959
1/10, 101, 0.6408
1/10, 201, 0.4047
1/10, 301, 0.4388
1/10, 401, 0.3647
1/10, 501, 0.2841
1/10, 601, 0.3008
1/10, 701, 0.3444
1/10, 801, 0.2239
2/10, 1, 0.2084
2/10, 101, 0.3232
2/10, 201, 0.2966
2/10, 301, 0.1544
2/10, 401, 0.3263
2/10, 501, 0.2158
2/10, 601, 0.3989
2/10, 701, 0.2807
2/10, 801, 0.1742
3/10, 1, 0.2062
3/10, 101, 0.4200
3/10, 201, 0.2777
3/10, 301, 0.1563
3/10, 401, 0.1686
3/10, 501, 0.1904
3/10, 601, 0.4231
3/10, 701, 0.3256
3/10, 801, 0.3954
4/10, 1, 0.2571
4/10, 101, 0.2540
4/10, 201, 0.1931
4/10, 301, 0.2661
4/10, 401, 0.2513
4/10, 501, 0.2470
4/10, 601, 0.1989
4/10, 701, 0.1833
4/10, 801, 0.2004
5/10, 1, 0.1506
5/10, 101, 0.2029
5/10, 201, 0.1890
5/10, 301, 0.2122
5/10, 401, 0.1249
5/10, 501, 0.1690
5/10, 601, 0.1636
5/10, 701, 0.1398
5/10, 801, 0.2983
6/10, 1, 0.1953
6/10, 101, 0.0740
6/10, 201, 0.1391
6/10, 301, 0.1604
6/10, 401, 0.4410
6/10, 501, 0.1915
6/10, 601, 0.1978
6/10, 701, 0.1554
6/10, 801, 0.1557
7/10, 1, 0.1321
7/10, 101, 0.1575
7/10, 201, 0.1875
7/10, 301, 0.0949
7/10, 401, 0.1297
7/10, 501, 0.2206
7/10, 601, 0.0745
7/10, 701, 0.0993
7/10, 801, 0.1079
8/10, 1, 0.1029
8/10, 101, 0.1227
8/10, 201, 0.0896
8/10, 301, 0.0952
8/10, 401, 0.1483
8/10, 501, 0.0973
8/10, 601, 0.1535
8/10, 701, 0.0623
8/10, 801, 0.1263
9/10, 1, 0.0657
9/10, 101, 0.0506
9/10, 201, 0.0348
9/10, 301, 0.0308
9/10, 401, 0.0430
9/10, 501, 0.2729
9/10, 601, 0.2417
9/10, 701, 0.0789
9/10, 801, 0.0564
10/10, 1, 0.0667
10/10, 101, 0.0305
10/10, 201, 0.0395
10/10, 301, 0.0314
10/10, 401, 0.0425
10/10, 501, 0.0525
10/10, 601, 0.0434
10/10, 701, 0.0304
10/10, 801, 0.0270
Training completed in 0 hours, 58 minutes, 27 secondsAccuracy on test set: 85.62%
True stars: 95.98%
False stars: 4.63%
Missed stars: 4.02%

True galaxies: 47.82%
False galaxies: 51.94%
Missed galaxies: 52.18%

True qso: 80.59%
False qso: 18.40%
Missed qso: 19.41%
