Epochs: 10
Batch size: 32
Optimizer: Adam
Learning rate: 0.01
Loss function: CrossEntropyLoss
Epoch: Step: Loss:
1/10, 1, 1.1571
1/10, 101, 0.7466
1/10, 201, 0.6625
1/10, 301, 0.8022
1/10, 401, 0.6693
1/10, 501, 0.8137
1/10, 601, 0.7299
1/10, 701, 0.7144
1/10, 801, 0.6726
1/10, 901, 0.6147
1/10, 1001, 0.7590
1/10, 1101, 0.5619
1/10, 1201, 0.5287
1/10, 1301, 0.5524
1/10, 1401, 0.6297
1/10, 1501, 1.0092
1/10, 1601, 0.9806
2/10, 1, 0.8710
2/10, 101, 0.9515
2/10, 201, 0.9710
2/10, 301, 0.9117
2/10, 401, 0.8893
2/10, 501, 0.8103
2/10, 601, 0.8100
2/10, 701, 1.0144
2/10, 801, 0.9324
2/10, 901, 0.8253
2/10, 1001, 0.9752
2/10, 1101, 0.8744
2/10, 1201, 1.0937
2/10, 1301, 0.9762
2/10, 1401, 1.0459
2/10, 1501, 1.0264
2/10, 1601, 0.9105
3/10, 1, 0.9138
3/10, 101, 0.9433
3/10, 201, 0.8970
3/10, 301, 0.7970
3/10, 401, 1.1836
3/10, 501, 1.0163
3/10, 601, 0.9041
3/10, 701, 0.7854
3/10, 801, 0.9742
3/10, 901, 1.0183
3/10, 1001, 0.9943
3/10, 1101, 0.8267
3/10, 1201, 0.8943
3/10, 1301, 0.9819
3/10, 1401, 1.0046
3/10, 1501, 0.9945
3/10, 1601, 0.8283
4/10, 1, 0.9666
4/10, 101, 0.8236
4/10, 201, 0.8428
4/10, 301, 0.8978
4/10, 401, 0.9488
4/10, 501, 1.1058
4/10, 601, 0.9824
4/10, 701, 0.9810
4/10, 801, 0.9425
4/10, 901, 0.9136
4/10, 1001, 0.9512
4/10, 1101, 1.0186
4/10, 1201, 0.9349
4/10, 1301, 0.9935
4/10, 1401, 1.0867
4/10, 1501, 0.9623
4/10, 1601, 0.8794
5/10, 1, 1.0007
5/10, 101, 0.9298
5/10, 201, 1.0496
5/10, 301, 1.1549
5/10, 401, 1.2142
5/10, 501, 0.8042
5/10, 601, 0.9169
5/10, 701, 0.9044
5/10, 801, 0.8984
5/10, 901, 0.9295
5/10, 1001, 0.8998
5/10, 1101, 0.9917
5/10, 1201, 0.8862
5/10, 1301, 0.8642
5/10, 1401, 0.8411
5/10, 1501, 0.8011
5/10, 1601, 1.0046
6/10, 1, 1.0994
6/10, 101, 0.8351
6/10, 201, 1.0432
6/10, 301, 1.0314
6/10, 401, 0.9150
6/10, 501, 0.9136
6/10, 601, 0.9473
6/10, 701, 1.0150
6/10, 801, 0.9531
6/10, 901, 0.9124
6/10, 1001, 0.8407
6/10, 1101, 1.1926
6/10, 1201, 0.8631
6/10, 1301, 1.0516
6/10, 1401, 1.0029
6/10, 1501, 1.0392
6/10, 1601, 0.9210
7/10, 1, 0.9473
7/10, 101, 0.8410
7/10, 201, 0.9724
7/10, 301, 0.8848
7/10, 401, 0.9473
7/10, 501, 0.9663
7/10, 601, 1.0188
7/10, 701, 0.9480
7/10, 801, 0.9684
7/10, 901, 0.7040
7/10, 1001, 0.9888
7/10, 1101, 0.8964
7/10, 1201, 1.2008
7/10, 1301, 1.0318
7/10, 1401, 0.8276
7/10, 1501, 0.8937
7/10, 1601, 0.9577
8/10, 1, 0.8441
8/10, 101, 1.0337
8/10, 201, 0.7417
8/10, 301, 0.7458
8/10, 401, 0.8977
8/10, 501, 0.9981
8/10, 601, 0.9984
8/10, 701, 0.8517
8/10, 801, 0.8079
8/10, 901, 0.9566
8/10, 1001, 1.0513
8/10, 1101, 0.8542
8/10, 1201, 1.0821
8/10, 1301, 0.8770
8/10, 1401, 0.9662
8/10, 1501, 0.9923
8/10, 1601, 0.9942
9/10, 1, 1.1332
9/10, 101, 0.8979
9/10, 201, 0.9641
9/10, 301, 0.9847
9/10, 401, 0.8067
9/10, 501, 1.0837
9/10, 601, 0.8441
9/10, 701, 1.0315
9/10, 801, 0.8455
9/10, 901, 1.0130
9/10, 1001, 0.7699
9/10, 1101, 0.8512
9/10, 1201, 0.9435
9/10, 1301, 0.7901
9/10, 1401, 0.9874
9/10, 1501, 0.9158
9/10, 1601, 1.0650
10/10, 1, 0.9139
10/10, 101, 0.7982
10/10, 201, 0.8461
10/10, 301, 1.0434
10/10, 401, 0.9154
10/10, 501, 0.8766
10/10, 601, 0.9145
10/10, 701, 1.0674
10/10, 801, 0.9853
10/10, 901, 0.9995
10/10, 1001, 0.9931
10/10, 1101, 0.8723
10/10, 1201, 1.0502
10/10, 1301, 0.7958
10/10, 1401, 0.8986
10/10, 1501, 0.8502
10/10, 1601, 0.8034
Training completed in 0 hours, 58 minutes, 33 secondsAccuracy on test set: 56.80%
True stars: 100.00%
False stars: 76.05%
Missed stars: 0.00%

True galaxies: 0.00%
False galaxies: 0.00%
Missed galaxies: 100.00%

True qso: 0.00%
False qso: 0.00%
Missed qso: 100.00%
Galaxies classified as stars: 100.00%
QSO classified as stars: 100.00%
Stars classified as galaxies: 0.00%
QSO classified as galaxies: 0.00%
Stars classified as QSO: 0.00%
Galaxies classified as QSO: 0.00%
Average star confidence: 0.30
Average galaxy confidence: 0.59
Average qso confidence: 0.11
